ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,S,BS,2022-09-07T18:00:00Z,STAR LEGEND,54,19,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311085000,BARCELONA/TERMINAL SUD,06:45:00,2022-09-07T04:45:00Z,2022-09-07,2022-09-07T16:00:00Z,Passatge,18:00:00,ITCAG,18C,311085000,9008598,ESCAR,Autoritzada,159,Cartagena,Cagliari,A,1-4,29933-1,2022-09-07,2022-09-07T06:45:00Z,Bahames,BALEARES CONSIGNATARIOS SL,C6FR6
2022,0010,BS,2022-09-08T11:00:00Z,LYRIC MAGNOLIA,1466,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311000360,CIA LOGISTICA DE HIDROCARBUROS SA,11:01:00,2022-09-07T09:01:00Z,2022-09-07,2022-09-08T09:00:00Z,Petroliers,11:00:00,MAJFL,26A,311000360,9734408,EGSUZ,Fondeig Previ,2499,El Suweis (= Suez),Jorf Lasfar,P,NA,38299-2,2022-09-08,2022-09-07T11:01:00Z,Bahames,MH BLAND SL,C6BT6
2022,0010,MT,2022-09-07T23:00:00Z,CASTILLO DE TRUJILLO,1215,253,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215589000,CIA LOGISTICA DE HIDROCARBUROS SA,12:00:00,2022-09-07T10:00:00Z,2022-09-07,2022-09-07T21:00:00Z,Tancs,23:00:00,ESCAR,26A,215589000,9293337,ESLCG,Iniciada,18214,La Coruna,Cartagena,I,3-7,38333-2,2022-09-07,2022-09-07T12:00:00Z,Malta,NEXT MARITIME SL,9HA5195
2022,2398,CY,2022-09-07T22:15:00Z,HYPATIA DE ALEJANDRIA,679,256,https://www.marinetraffic.com/en/ais/details/ships/mmsi:209462000,TERMINAL PORT NOU SA,19:30:00,2022-09-07T17:30:00Z,2022-09-07,2022-09-07T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,209462000,9498755,ESPMI,Autoritzada,18646,Palma de Mallorca,Palma de Mallorca,A,1-4,38328-1,2022-09-07,2022-09-07T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BDE5
2022,2398,ES,2022-09-07T21:45:00Z,ABEL MATUTES,63,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:224402000,TERMINAL PORT NOU SA,19:00:00,2022-09-07T17:00:00Z,2022-09-07,2022-09-07T19:45:00Z,Transbordadors,21:45:00,ESALD,00A,224402000,9441130,ESALD,Autoritzada,190,Alcudia,Alcudia,A,6-10,38323-1,2022-09-07,2022-09-07T19:00:00Z,Espanya,BALEARIA EUROLINEAS MARITIMAS SA,ECPD
2022,2398,LR,2022-09-08T08:00:00Z,MAX,775,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636020515,TERMINAL PORT NOU SA,16:00:00,2022-09-07T14:00:00Z,2022-09-07,2022-09-08T06:00:00Z,Càrrega (Lo-Lo),08:00:00,ITGOA,00A,636020515,9351098,ESCAS,Sol·licitada,127,Castellon de la Plana,Genoa,S,NA,37950-1,2022-09-08,2022-09-07T16:00:00Z,Libèria,BERGE MARITIMA SL,D5ZO2
2022,2398,TR,2022-09-07T16:00:00Z,AKHISAR,75,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:271000653,TERMINAL PORT NOU SA,06:00:00,2022-09-07T04:00:00Z,2022-09-07,2022-09-07T14:00:00Z,Portacontenidors,16:00:00,ESCAS,00A,271000653,9237149,MACAS,Sol·licitada,1184,Casablanca,Castellon de la Plana,S,NA,37241-1,2022-09-07,2022-09-07T06:00:00Z,Turquia,BERGE MARITIMA SL,TCRB
2022,6037,MH,2022-09-11T07:00:00Z,ADVANTAGE LIFE,1466,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538006075,DECAL ESPAÑA SA,05:34:00,2022-09-07T03:34:00Z,2022-09-07,2022-09-11T05:00:00Z,Petroliers,07:00:00,GIGIB,34B,538006075,9708564,EGSUZ,Iniciada,250,El Suweis (= Suez),Gibraltar,I,1,38380-1,2022-09-11,2022-09-07T05:34:00Z,Illes Marshall,NEXT MARITIME SL,V7JN4
2022,6037,MT,2022-09-08T10:59:00Z,ASTREA,1112,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215034000,DECAL ESPAÑA SA,11:00:00,2022-09-07T09:00:00Z,2022-09-07,2022-09-08T08:59:00Z,Tancs,10:59:00,ZZZZZ,32A,215034000,9293997,TRIZT,Sol·licitada,17598,Izmit,Desconegut,S,NA,38331-1,2022-09-08,2022-09-07T11:00:00Z,Malta,ALFASHIP MARITIME SERVICES SL,9HA4931
2022,6212,HK,2022-09-07T14:00:00Z,MAERSK ARUN,952,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:477958700,TERMINAL CATALUNYA SA,06:00:00,2022-09-07T04:00:00Z,2022-09-07,2022-09-07T12:00:00Z,Portacontenidors,14:00:00,DZALG,36A,477958700,9175779,MAPTM,Autoritzada,155,Tanger Med,Alger (Algiers),A,12-15,38107-1,2022-09-07,2022-09-07T06:00:00Z,Hong Kong,MARITIMA DEL MEDITERRANEO SA,VRDG5
