ANYESCALA,TERMINALCODI,VAIXELLBANDERACODI,ETD,VAIXELLNOM,CALAT_METRES,MANEGA_METRES,MESINFO,TERMINALNOM,ETAHORA,ETAUTC,ETADIA,ETDUTC,VAIXELLTIPUS,ETDHORA,PORTDESTICODI,MOLLCODI,MMSI,IMO,PORTORIGENCODI,ESCALAESTAT,ESLORA_METRES,PORTORIGENNOM,PORTDESTINOM,ESTOPERATIUID,MOLLMODULS,ESCALANUM,ETDDIA,ETA,VAIXELLBANDERANOM,CONSIGNATARI,CALLSIGN
2021,B,MT,2022-10-18T20:00:00Z,CELEBRITY EDGE,823,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248325000,ADOSSAT/TERMINAL B,06:30:00,2022-10-18T04:30:00Z,2022-10-18,2022-10-18T18:00:00Z,Passatge,20:00:00,ITCAG,01D,248325000,9812705,FRTLN,Autoritzada,306,Toulon,Cagliari,A,24-30,29507-1,2022-10-18,2022-10-18T06:30:00Z,Malta,BALEARES CONSIGNATARIOS SL,9HA4612
2021,C,BM,2022-10-18T23:59:00Z,AURORA,84,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:310556000,ADOSSAT/TERMINAL C,06:45:00,2022-10-18T04:45:00Z,2022-10-18,2022-10-18T21:59:00Z,Passatge,23:59:00,ITGOA,01D,310556000,9169524,ESCAD,Autoritzada,270,Cadiz,Genoa,A,17-22,31142-1,2022-10-18,2022-10-18T06:45:00Z,Bermuda,MARITIMA DEL MEDITERRANEO SA,ZCDW9
2022,0010,MH,2022-10-18T14:00:00Z,PLUTO,1152,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538008326,CIA LOGISTICA DE HIDROCARBUROS SA,18:01:00,2022-10-17T16:01:00Z,2022-10-17,2022-10-18T12:00:00Z,Tancs,14:00:00,ESALG,26A,538008326,9353137,ESCAR,Iniciada,184,Cartagena,Algeciras,I,3-7,39327-2,2022-10-18,2022-10-17T18:01:00Z,Illes Marshall,A PEREZ Y CIA SL,V7A2240
2022,2398,CY,2022-10-18T22:15:00Z,KERRY,653,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:210772000,TERMINAL PORT NOU SA,19:30:00,2022-10-18T17:30:00Z,2022-10-18,2022-10-18T20:15:00Z,Transbordadors,22:15:00,ESPMI,01D,210772000,9243447,ESPMI,Autoritzada,1865,Palma de Mallorca,Palma de Mallorca,A,1-4,39102-1,2022-10-18,2022-10-18T19:30:00Z,Xipre,BALEARIA EUROLINEAS MARITIMAS SA,5BZF3
2022,2398,MT,2022-10-18T22:01:00Z,BAHAMA MAMA,55,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248218000,TERMINAL PORT NOU SA,19:00:00,2022-10-18T17:00:00Z,2022-10-18,2022-10-18T20:01:00Z,Transbordadors,22:01:00,ESIBZ,00A,248218000,9441142,ESIBZ,Autoritzada,15451,Ibiza,Ibiza,A,7-10,39105-1,2022-10-18,2022-10-18T19:00:00Z,Malta,BALEARIA EUROLINEAS MARITIMAS SA,9HA2263
2022,6154,MH,2022-10-18T21:00:00Z,NEPTUNE AVRA,662,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538009923,AUTOTERMINAL SA,11:00:00,2022-10-18T09:00:00Z,2022-10-18,2022-10-18T19:00:00Z,Car-carrier,21:00:00,MAPTM,31A,538009923,8807155,FRFOS,Sol·licitada,155,Fos-sur-Mer,Tanger Med,S,NA,39398-1,2022-10-18,2022-10-18T11:00:00Z,Illes Marshall,NEPTUNE BARCELONA SA,V7A5346
2022,6154,MT,2022-10-18T20:00:00Z,NEPTUNE PHOS,87,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256012000,AUTOTERMINAL SA,04:58:00,2022-10-18T02:58:00Z,2022-10-18,2022-10-18T18:00:00Z,Car-carrier,20:00:00,ESVLC,31A,256012000,9451719,FRSET,Iniciada,168,Sete,Valencia,I,2-6,39396-1,2022-10-18,2022-10-18T04:58:00Z,Malta,NEPTUNE BARCELONA SA,9HA5659
2022,6212,LR,2022-10-18T18:00:00Z,MSC MARIA CLARA,135,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636020899,TERMINAL CATALUNYA SA,06:00:00,2022-10-18T04:00:00Z,2022-10-18,2022-10-18T16:00:00Z,Portacontenidors,18:00:00,ITLIV,36A,636020899,9287900,CAHAL,Sol·licitada,29405,Halifax,Livorno,S,NA,39178-1,2022-10-18,2022-10-18T06:00:00Z,Libèria,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,BQOB
2022,6212,LR,2022-10-18T22:00:00Z,TENO,135,456,https://www.marinetraffic.com/en/ais/details/ships/mmsi:636014646,TERMINAL CATALUNYA SA,11:40:00,2022-10-17T09:40:00Z,2022-10-17,2022-10-18T20:00:00Z,Portacontenidors,22:00:00,ITGOA,36A,636014646,9447859,ESVLC,Iniciada,300,Valencia,Genoa,I,9-15,38769-1,2022-10-18,2022-10-17T11:40:00Z,Libèria,HAPAG LLOYD SPAIN SL,A8VP7
2022,6212,LT,2022-10-18T20:00:00Z,SONATA,851,NA,https://www.marinetraffic.com/en/ais/details/ships/mmsi:277562000,TERMINAL CATALUNYA SA,06:00:00,2022-10-18T04:00:00Z,2022-10-18,2022-10-18T18:00:00Z,Portacontenidors,20:00:00,DZORN,36A,277562000,9316103,ESVLC,Sol·licitada,148,Valencia,Oran,S,NA,39259-1,2022-10-18,2022-10-18T06:00:00Z,Lituània,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,LYBN
